French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
gros,large
aura,will have
jouer,to play
